component,estimate,p.value,method,alternative,date
Axis.64,0.0234854278404314,0.812031508638471,Spearman's rank correlation rho,two.sided,t4
Axis.82,-0.023246891810257,0.813905988978167,Spearman's rank correlation rho,two.sided,t4
Axis.74,0.0206229954783386,0.834592363465132,Spearman's rank correlation rho,two.sided,t4
Axis.18,-0.0197621915433614,0.841404183694604,Spearman's rank correlation rho,two.sided,t4
Axis.20,0.0189636143988646,0.847734072021106,Spearman's rank correlation rho,two.sided,t4
Axis.68,0.0177605631162459,0.857288181762002,Spearman's rank correlation rho,two.sided,t4
Axis.17,0.0159715428899379,0.871533574665894,Spearman's rank correlation rho,two.sided,t4
Axis.85,0.0156915223327766,0.873767130001481,Spearman's rank correlation rho,two.sided,t4
Axis.39,0.0123105333833482,0.900808465673377,Spearman's rank correlation rho,two.sided,t4
Axis.88,0.0117764200983925,0.905091544798619,Spearman's rank correlation rho,two.sided,t4
Axis.43,-0.00937550309902847,0.924376474774759,Spearman's rank correlation rho,two.sided,t4
Axis.22,0.00892954443391981,0.927963723936477,Spearman's rank correlation rho,two.sided,t4
Axis.65,0.00665308101551633,0.946296339591185,Spearman's rank correlation rho,two.sided,t4
Axis.79,0.00547595756226442,0.955787458909411,Spearman's rank correlation rho,two.sided,t4
Axis.29,-0.0054655864305177,0.955871110520989,Spearman's rank correlation rho,two.sided,t4
Axis.86,-0.00542410190353085,0.956205721747551,Spearman's rank correlation rho,two.sided,t4
Axis.6,0.0012860203365924,0.989611799495408,Spearman's rank correlation rho,two.sided,t4
Axis.33,0.384333545487901,0.00111259732731798,Spearman's rank correlation rho,two.sided,t6
Axis.48,-0.256033507952827,0.0337158709775686,Spearman's rank correlation rho,two.sided,t6
Axis.20,0.246694288696357,0.0410069333435871,Spearman's rank correlation rho,two.sided,t6
Axis.60,0.236039171619014,0.0508723484812615,Spearman's rank correlation rho,two.sided,t6
Axis.9,0.223026404279274,0.065471128765329,Spearman's rank correlation rho,two.sided,t6
Axis.35,0.219754936085716,0.0696282340122249,Spearman's rank correlation rho,two.sided,t6
Axis.12,-0.20257515897988,0.0950517949764071,Spearman's rank correlation rho,two.sided,t6
Axis.50,0.201825828276327,0.0963073285468593,Spearman's rank correlation rho,two.sided,t6
Axis.26,-0.201021668496905,0.0976691190181842,Spearman's rank correlation rho,two.sided,t6
Axis.45,0.187058530508758,0.123790132569209,Spearman's rank correlation rho,two.sided,t6
Axis.29,-0.170408767802995,0.161535925437269,Spearman's rank correlation rho,two.sided,t6
Axis.28,-0.168855277320021,0.165449404684125,Spearman's rank correlation rho,two.sided,t6
Axis.63,0.16019228333261,0.18855797463225,Spearman's rank correlation rho,two.sided,t6
Axis.1,0.149957522503601,0.218752349546017,Spearman's rank correlation rho,two.sided,t6
Axis.3,-0.145114287468445,0.234165137839671,Spearman's rank correlation rho,two.sided,t6
Axis.40,-0.144693931220111,0.235537448516036,Spearman's rank correlation rho,two.sided,t6
Axis.43,-0.136195424460309,0.264479856601801,Spearman's rank correlation rho,two.sided,t6
Axis.55,-0.125156503851878,0.305518446012351,Spearman's rank correlation rho,two.sided,t6
Axis.56,0.121318468541,0.320704895624899,Spearman's rank correlation rho,two.sided,t6
Axis.17,0.118174934857804,0.333496245392184,Spearman's rank correlation rho,two.sided,t6
Axis.59,-0.1176997495336,0.335457433484171,Spearman's rank correlation rho,two.sided,t6
Axis.6,0.115707626443668,0.343758129716333,Spearman's rank correlation rho,two.sided,t6
Axis.25,0.107190843325243,0.38067294063419,Spearman's rank correlation rho,two.sided,t6
Axis.22,0.106277025394082,0.384770247076979,Spearman's rank correlation rho,two.sided,t6
Axis.2,0.105034233007702,0.390384687755362,Spearman's rank correlation rho,two.sided,t6
Axis.44,0.101013434110591,0.40887957323398,Spearman's rank correlation rho,two.sided,t6
Axis.8,0.0939404833234015,0.442622263415476,Spearman's rank correlation rho,two.sided,t6
Axis.10,0.0887682738330274,0.468251109606393,Spearman's rank correlation rho,two.sided,t6
Axis.16,-0.0863192417775146,0.480660727370002,Spearman's rank correlation rho,two.sided,t6
Axis.52,-0.0767789825761887,0.530626872145,Spearman's rank correlation rho,two.sided,t6
Axis.14,0.0725754200928458,0.553431774113188,Spearman's rank correlation rho,two.sided,t6
