"group1","group2","p_value","enzID","test","p_adj_method"
"t9","t10",5.60073399934371e-10,"AA7","pairwise.wilcox.test","Bonferroni"
"t9","t2",0.359059819717552,"AA7","pairwise.wilcox.test","Bonferroni"
"t9","t3",2.99415904828761e-07,"AA7","pairwise.wilcox.test","Bonferroni"
"t9","t4",1.79132644821981e-05,"AA7","pairwise.wilcox.test","Bonferroni"
"t9","t5",0.458385248087358,"AA7","pairwise.wilcox.test","Bonferroni"
"t9","t6",1,"AA7","pairwise.wilcox.test","Bonferroni"
"t9","t7",1,"AA7","pairwise.wilcox.test","Bonferroni"
"t9","t8",1,"AA7","pairwise.wilcox.test","Bonferroni"
"t1","t0",1,"CBM11","pairwise.wilcox.test","Bonferroni"
"t10","t0",1,"CBM11","pairwise.wilcox.test","Bonferroni"
"t10","t1",1,"CBM11","pairwise.wilcox.test","Bonferroni"
"t2","t0",1,"CBM11","pairwise.wilcox.test","Bonferroni"
"t2","t1",1,"CBM11","pairwise.wilcox.test","Bonferroni"
"t2","t10",1,"CBM11","pairwise.wilcox.test","Bonferroni"
"t3","t0",1,"CBM11","pairwise.wilcox.test","Bonferroni"
"t3","t1",1,"CBM11","pairwise.wilcox.test","Bonferroni"
"t3","t10",1,"CBM11","pairwise.wilcox.test","Bonferroni"
"t3","t2",1,"CBM11","pairwise.wilcox.test","Bonferroni"
"t4","t0",1,"CBM11","pairwise.wilcox.test","Bonferroni"
"t4","t1",1,"CBM11","pairwise.wilcox.test","Bonferroni"
"t4","t10",1,"CBM11","pairwise.wilcox.test","Bonferroni"
"t4","t2",1,"CBM11","pairwise.wilcox.test","Bonferroni"
"t4","t3",1,"CBM11","pairwise.wilcox.test","Bonferroni"
"t5","t0",1,"CBM11","pairwise.wilcox.test","Bonferroni"
"t5","t1",1,"CBM11","pairwise.wilcox.test","Bonferroni"
"t5","t10",1,"CBM11","pairwise.wilcox.test","Bonferroni"
"t5","t2",1,"CBM11","pairwise.wilcox.test","Bonferroni"
"t5","t3",1,"CBM11","pairwise.wilcox.test","Bonferroni"
"t5","t4",1,"CBM11","pairwise.wilcox.test","Bonferroni"
"t6","t0",1,"CBM11","pairwise.wilcox.test","Bonferroni"
"t6","t1",1,"CBM11","pairwise.wilcox.test","Bonferroni"
"t6","t10",1,"CBM11","pairwise.wilcox.test","Bonferroni"
"t6","t2",1,"CBM11","pairwise.wilcox.test","Bonferroni"
"t6","t3",1,"CBM11","pairwise.wilcox.test","Bonferroni"
"t6","t4",1,"CBM11","pairwise.wilcox.test","Bonferroni"
"t6","t5",1,"CBM11","pairwise.wilcox.test","Bonferroni"
"t7","t0",1,"CBM11","pairwise.wilcox.test","Bonferroni"
"t7","t1",1,"CBM11","pairwise.wilcox.test","Bonferroni"
"t7","t10",1,"CBM11","pairwise.wilcox.test","Bonferroni"
"t7","t2",1,"CBM11","pairwise.wilcox.test","Bonferroni"
"t7","t3",1,"CBM11","pairwise.wilcox.test","Bonferroni"
"t7","t4",1,"CBM11","pairwise.wilcox.test","Bonferroni"
"t7","t5",1,"CBM11","pairwise.wilcox.test","Bonferroni"
"t7","t6",1,"CBM11","pairwise.wilcox.test","Bonferroni"
"t8","t0",1,"CBM11","pairwise.wilcox.test","Bonferroni"
"t8","t1",1,"CBM11","pairwise.wilcox.test","Bonferroni"
"t8","t10",1,"CBM11","pairwise.wilcox.test","Bonferroni"
"t8","t2",1,"CBM11","pairwise.wilcox.test","Bonferroni"
