cohort,isolation_source,bin,secondary_cluster,variable,value
PosCtrl,Protexin,bins.8.fa,no_cluster,R6,206160.609676667
PosCtrl,Protexin,bins.9.fa,no_cluster,R6,2783558.05308333
PosCtrl,ColiGuard,bins.1.fa,no_cluster,R6,31749.244565
PosCtrl,ColiGuard,bins.10.fa,no_cluster,R6,5263712.66810001
PosCtrl,ColiGuard,bins.11.fa,no_cluster,R6,15428.5361499333
PosCtrl,ColiGuard,bins.12.fa,no_cluster,R6,2000856.60486667
PosCtrl,ColiGuard,bins.13.fa,no_cluster,R6,1358761.46483333
PosCtrl,ColiGuard,bins.2.fa,655_1,R6,255086.607438434
PosCtrl,ColiGuard,bins.3.fa,no_cluster,R6,391247.662603333
PosCtrl,ColiGuard,bins.4.fa,662_1,R6,726037.15794767
PosCtrl,ColiGuard,bins.5.fa,1254_1,R6,485086.017213333
PosCtrl,ColiGuard,bins.6.fa,no_cluster,R6,40232.5863222334
PosCtrl,ColiGuard,bins.7.fa,1255_2,R6,86060.3082390667
PosCtrl,ColiGuard,bins.8.fa,no_cluster,R6,34299.7306721667
PosCtrl,ColiGuard,bins.9.fa,no_cluster,R6,1265175.71046666
PosCtrl,MockCommunity,bins.1.fa,1255_2,R7,1435031.73052766
PosCtrl,MockCommunity,bins.10.fa,no_cluster,R7,3.81066301233334
PosCtrl,MockCommunity,bins.11.fa,no_cluster,R7,442401.291913334
PosCtrl,MockCommunity,bins.12.fa,1011_1,R7,157341.693423667
PosCtrl,MockCommunity,bins.13.fa,no_cluster,R7,812618.797066668
PosCtrl,MockCommunity,bins.14.fa,no_cluster,R7,216521.98799
PosCtrl,MockCommunity,bins.15.fa,no_cluster,R7,2.4305055612
PosCtrl,MockCommunity,bins.2.fa,228_1,R7,72189.9210515334
PosCtrl,MockCommunity,bins.3.fa,366_1,R7,4.36488482494334
PosCtrl,MockCommunity,bins.4.fa,1222_1,R7,327274.392515667
PosCtrl,MockCommunity,bins.5.fa,1010_1,R7,465426.025364
PosCtrl,MockCommunity,bins.6.fa,no_cluster,R7,1887984.37272
PosCtrl,MockCommunity,bins.7.fa,no_cluster,R7,407978.701183333
PosCtrl,MockCommunity,bins.8.fa,no_cluster,R7,496695.650683333
PosCtrl,MockCommunity,bins.9.fa,1254_1,R7,7634805.27299001
PosCtrl,Protexin,bins.1.fa,no_cluster,R7,2640000.37084333
PosCtrl,Protexin,bins.10.fa,no_cluster,R7,271437.507743334
PosCtrl,Protexin,bins.11.fa,289_5,R7,22941.6930005
PosCtrl,Protexin,bins.12.fa,no_cluster,R7,140250.073129667
PosCtrl,Protexin,bins.13.fa,no_cluster,R7,466134.498919999
PosCtrl,Protexin,bins.14.fa,no_cluster,R7,115.194987928966
PosCtrl,Protexin,bins.15.fa,no_cluster,R7,103924.760341
PosCtrl,Protexin,bins.16.fa,no_cluster,R7,1217438.74730334
PosCtrl,Protexin,bins.17.fa,no_cluster,R7,112495.814076667
PosCtrl,Protexin,bins.18.fa,619_0,R7,202875.309201334
PosCtrl,Protexin,bins.19.fa,no_cluster,R7,2648388.08984333
PosCtrl,Protexin,bins.2.fa,no_cluster,R7,262149.998546668
PosCtrl,Protexin,bins.20.fa,no_cluster,R7,897244.503523334
PosCtrl,Protexin,bins.3.fa,no_cluster,R7,680665.017053332
PosCtrl,Protexin,bins.4.fa,no_cluster,R7,775720.731513334
PosCtrl,Protexin,bins.5.fa,no_cluster,R7,910942.62541
PosCtrl,Protexin,bins.6.fa,no_cluster,R7,237466.85975
PosCtrl,Protexin,bins.7.fa,no_cluster,R7,163031.860393333
PosCtrl,Protexin,bins.8.fa,no_cluster,R7,55516.4315606667
PosCtrl,Protexin,bins.9.fa,no_cluster,R7,3814478.32205668
PosCtrl,ColiGuard,bins.1.fa,no_cluster,R7,0
PosCtrl,ColiGuard,bins.10.fa,no_cluster,R7,5849655.73923332
PosCtrl,ColiGuard,bins.11.fa,no_cluster,R7,33.9221387480666
PosCtrl,ColiGuard,bins.12.fa,no_cluster,R7,2200409.47786666
PosCtrl,ColiGuard,bins.13.fa,no_cluster,R7,1507977.48033334
PosCtrl,ColiGuard,bins.2.fa,655_1,R7,16.0661286760667
PosCtrl,ColiGuard,bins.3.fa,no_cluster,R7,389722.808986668
PosCtrl,ColiGuard,bins.4.fa,662_1,R7,723798.088345336
PosCtrl,ColiGuard,bins.5.fa,1254_1,R7,7.76366331
PosCtrl,ColiGuard,bins.6.fa,no_cluster,R7,26.4493386811667
PosCtrl,ColiGuard,bins.7.fa,1255_2,R7,126.073599996667
PosCtrl,ColiGuard,bins.8.fa,no_cluster,R7,37.4516541320667
PosCtrl,ColiGuard,bins.9.fa,no_cluster,R7,1381611.2781
PosCtrl,MockCommunity,bins.1.fa,1255_2,R8,9894418.39621334
PosCtrl,MockCommunity,bins.10.fa,no_cluster,R8,18414.9413844667
PosCtrl,MockCommunity,bins.11.fa,no_cluster,R8,2601422.2814
PosCtrl,MockCommunity,bins.12.fa,1011_1,R8,1020654.70505666
PosCtrl,MockCommunity,bins.13.fa,no_cluster,R8,3955621.17466
PosCtrl,MockCommunity,bins.14.fa,no_cluster,R8,921190.859893334
PosCtrl,MockCommunity,bins.15.fa,no_cluster,R8,137696.608273333
PosCtrl,MockCommunity,bins.2.fa,228_1,R8,519639.211071
PosCtrl,MockCommunity,bins.3.fa,366_1,R8,411107.5646271
PosCtrl,MockCommunity,bins.4.fa,1222_1,R8,2500943.24967667
PosCtrl,MockCommunity,bins.5.fa,1010_1,R8,3191996.96948
PosCtrl,MockCommunity,bins.6.fa,no_cluster,R8,8595873.16625334
PosCtrl,MockCommunity,bins.7.fa,no_cluster,R8,2803703.06573333
PosCtrl,MockCommunity,bins.8.fa,no_cluster,R8,2049122.33130667
PosCtrl,MockCommunity,bins.9.fa,1254_1,R8,44900225.4168
PosCtrl,Protexin,bins.1.fa,no_cluster,R8,1535201.83742333
PosCtrl,Protexin,bins.10.fa,no_cluster,R8,129564.045783667
PosCtrl,Protexin,bins.11.fa,289_5,R8,14.5790679920667
PosCtrl,Protexin,bins.12.fa,no_cluster,R8,152198.105975667
PosCtrl,Protexin,bins.13.fa,no_cluster,R8,218476.224643333
PosCtrl,Protexin,bins.14.fa,no_cluster,R8,7.65983253033332
PosCtrl,Protexin,bins.15.fa,no_cluster,R8,72208.9116743333
PosCtrl,Protexin,bins.16.fa,no_cluster,R8,1958797.28228667
PosCtrl,Protexin,bins.17.fa,no_cluster,R8,123901.511621333
PosCtrl,Protexin,bins.18.fa,619_0,R8,216092.094246333
PosCtrl,Protexin,bins.19.fa,no_cluster,R8,1435969.69205
PosCtrl,Protexin,bins.2.fa,no_cluster,R8,181631.920783667
PosCtrl,Protexin,bins.20.fa,no_cluster,R8,482846.455356667
PosCtrl,Protexin,bins.3.fa,no_cluster,R8,1083069.32323667
PosCtrl,Protexin,bins.4.fa,no_cluster,R8,420225.62282
PosCtrl,Protexin,bins.5.fa,no_cluster,R8,499461.34036
PosCtrl,Protexin,bins.6.fa,no_cluster,R8,165891.668845333
PosCtrl,Protexin,bins.7.fa,no_cluster,R8,114937.345433333
PosCtrl,Protexin,bins.8.fa,no_cluster,R8,60734.7655546667
PosCtrl,Protexin,bins.9.fa,no_cluster,R8,2230159.87788667
PosCtrl,ColiGuard,bins.1.fa,no_cluster,R8,0.723402986353333
PosCtrl,ColiGuard,bins.10.fa,no_cluster,R8,5659942.91460001
PosCtrl,ColiGuard,bins.11.fa,no_cluster,R8,39.5965860653001
